일련번호,나이,학력,성별,정신건강,전문직,개발공부기간,연차,국적,연봉,보유기술개수
DEV236,>35,Undergraduate,Man,No,Dev,20,16,United States of America,150000,15
DEV237,<35,Undergraduate,Man,Yes,Dev,15,13,Germany,18984,23
DEV238,>35,Undergraduate,Man,No,Dev,32,23,Germany,64859,13
DEV239,<35,Undergraduate,Man,No,NotDev,11,3,United States of America,82750,14
DEV240,>35,Other,Man,Yes,Dev,6,5,United Kingdom of Great Britain and Northern Ireland,71093,7
DEV241,<35,Master,Man,No,Dev,18,7,Germany,88208,16
DEV242,<35,Master,Man,No,Dev,13,6,United Kingdom of Great Britain and Northern Ireland,46533,4
DEV243,<35,Other,Man,No,Dev,8,3,United Kingdom of Great Britain and Northern Ireland,33600,7
DEV244,<35,Undergraduate,Man,No,Dev,10,8,United States of America,110000,14
DEV245,<35,Undergraduate,Man,No,Dev,5,1,India,5585,21
DEV246,<35,Master,Man,Yes,Dev,20,5,United States of America,200000,7
DEV247,<35,Other,Man,No,Dev,8,4,United States of America,144000,16
DEV248,>35,Master,Man,No,Dev,25,7,Germany,91883,14
DEV249,<35,Undergraduate,NonBinary,No,Dev,10,5,India,7679,22
DEV250,>35,NoHigherEd,Man,No,Dev,43,43,United States of America,83000,13
DEV251,<35,Undergraduate,Man,No,Dev,13,3,United States of America,75636,11
DEV252,>35,Undergraduate,Man,Yes,Dev,1,1,United States of America,100000,10
DEV253,>35,Other,Man,No,Dev,20,15,United Kingdom of Great Britain and Northern Ireland,103408,3
DEV254,<35,Undergraduate,Man,No,Dev,6,5,India,13962,16
DEV255,>35,Undergraduate,Man,Yes,NotDev,47,40,United States of America,200000,4
DEV256,<35,Undergraduate,Man,No,Dev,10,9,United Kingdom of Great Britain and Northern Ireland,87896,15
DEV257,<35,Undergraduate,Man,Yes,Dev,10,6,United States of America,80000,5
DEV258,>35,Master,Man,No,Dev,22,15,Germany,175119,13
DEV259,>35,Master,Man,No,NotDev,35,30,United Kingdom of Great Britain and Northern Ireland,193889,6
DEV260,<35,Master,Man,No,Dev,5,4,United States of America,166000,9
DEV261,<35,Undergraduate,Man,No,Dev,17,13,United States of America,220000,5
DEV262,>35,Other,Man,No,Dev,25,20,United Kingdom of Great Britain and Northern Ireland,89189,23
DEV263,<35,Undergraduate,Man,No,Dev,12,5,Germany,51887,9
DEV264,>35,Undergraduate,Man,No,Dev,20,16,Canada,52942,6
DEV265,>35,Undergraduate,Man,No,Dev,32,21,United States of America,90000,7
DEV266,>35,Undergraduate,Man,No,Dev,15,12,United Kingdom of Great Britain and Northern Ireland,82726,8
DEV267,<35,Undergraduate,Man,No,Dev,3,1,United States of America,65000,18
DEV268,<35,Other,Man,No,Dev,6,1,Germany,5832,8
DEV269,<35,Undergraduate,Man,No,Dev,16,11,India,33508,11
DEV270,<35,Master,Man,No,Dev,10,7,United States of America,160000,17
DEV271,<35,Undergraduate,Man,Yes,Dev,16,11,Germany,81074,18
DEV272,>35,Other,Man,No,Dev,20,8,United States of America,200000,16
DEV273,<35,Undergraduate,Man,No,Dev,6,2,Canada,66556,24
DEV274,>35,Undergraduate,Man,No,Dev,28,25,United States of America,120000,10
DEV275,<35,Undergraduate,Man,Yes,Dev,25,6,India,20940,13
DEV276,<35,Undergraduate,Man,No,Dev,19,6,Germany,86478,7
DEV277,>35,PhD,Man,No,NotDev,42,25,United States of America,160000,10
DEV278,>35,Master,NonBinary,Yes,Dev,35,23,Germany,58373,13
DEV279,>35,Undergraduate,Man,No,Dev,25,16,United States of America,105000,36
DEV280,<35,Undergraduate,Man,No,Dev,12,7,United States of America,83200,8
DEV281,<35,Undergraduate,Man,Yes,Dev,10,4,United States of America,81000,11
DEV282,<35,Master,Man,No,Dev,10,8,United States of America,106000,11
DEV283,>35,Undergraduate,Man,No,Dev,9,7,United States of America,125000,18
DEV284,>35,PhD,Man,No,NotDev,35,15,United Kingdom of Great Britain and Northern Ireland,51704,5
DEV285,<35,Undergraduate,Man,No,Dev,12,7,Germany,60427,7
DEV286,>35,Master,Man,No,NotDev,20,15,United States of America,200000,6
DEV287,<35,Undergraduate,Man,No,Dev,6,3,Canada,60505,17
DEV288,>35,Master,Man,No,Dev,20,12,Germany,108098,13
DEV289,<35,Master,Man,No,NotDev,10,6,United Kingdom of Great Britain and Northern Ireland,129259,9
DEV290,<35,PhD,Man,No,Dev,12,3,United States of America,93000,6
DEV291,<35,Undergraduate,Man,No,Dev,20,5,United States of America,77250,4
DEV292,>35,Master,Man,No,Dev,20,12,United Kingdom of Great Britain and Northern Ireland,87638,11
DEV293,<35,Undergraduate,Man,No,Dev,3,3,India,26527,6
DEV294,<35,Other,Man,No,Dev,7,4,United Kingdom of Great Britain and Northern Ireland,20682,20
DEV295,<35,Other,Man,Yes,Dev,14,10,United States of America,129600,23
DEV296,>35,Other,Man,Yes,Dev,38,20,Germany,75669,5
DEV297,>35,Undergraduate,Man,Yes,Dev,40,25,United States of America,116000,5
DEV298,<35,Undergraduate,Woman,No,Dev,6,6,United States of America,104000,15
DEV299,<35,NoHigherEd,Man,No,Dev,7,2,United Kingdom of Great Britain and Northern Ireland,36193,16
DEV300,<35,Master,Man,No,Dev,13,4,India,2508,40
DEV301,<35,Undergraduate,Man,No,Dev,9,0,India,2508,13
DEV302,<35,Undergraduate,Man,No,Dev,7,2,India,5864,15
DEV303,<35,Other,Man,Yes,Dev,13,5,Germany,47563,15
DEV304,<35,Master,Man,No,Dev,12,10,United Kingdom of Great Britain and Northern Ireland,64630,3
DEV305,<35,Master,Man,No,Dev,15,4,United Kingdom of Great Britain and Northern Ireland,118919,13
DEV306,<35,Undergraduate,Man,No,Dev,13,8,India,57240,23
DEV307,<35,Other,Man,Yes,Dev,12,10,United Kingdom of Great Britain and Northern Ireland,155111,4
DEV308,<35,Undergraduate,Man,No,Dev,14,10,India,30018,12
DEV309,<35,Undergraduate,Man,No,Dev,10,5,United States of America,65000,11
DEV310,>35,Undergraduate,Man,No,Dev,23,20,Canada,60505,7
DEV311,<35,Undergraduate,Man,Yes,Dev,8,3,India,7200,8
DEV312,<35,Undergraduate,Man,No,Dev,5,2,India,3770,5
DEV313,>35,Other,Man,No,Dev,41,35,United States of America,160000,15
DEV314,<35,Undergraduate,Man,No,Dev,4,2,United States of America,68000,6
DEV315,>35,Undergraduate,Man,No,Dev,35,20,United States of America,144000,24
DEV316,<35,Undergraduate,Man,Yes,NotDev,6,2,United States of America,60000,29
DEV317,<35,Undergraduate,Woman,No,Dev,5,2,India,15682,1
DEV318,>35,Master,Man,No,NotDev,3,3,Germany,81074,11
DEV319,>35,Undergraduate,Man,Yes,Dev,38,16,United Kingdom of Great Britain and Northern Ireland,49119,10
DEV320,<35,Master,Man,No,Dev,13,7,India,16080,15
DEV321,<35,Undergraduate,Man,No,Dev,10,1,United States of America,90000,31
DEV322,<35,Master,Man,Yes,Dev,15,10,India,111694,10
DEV323,<35,Undergraduate,Man,No,NotDev,6,1,United States of America,65000,4
DEV324,>35,Undergraduate,Man,Yes,Dev,30,26,United States of America,150000,13
DEV325,<35,Undergraduate,Man,No,Dev,7,3,Germany,60972,14
DEV326,<35,Undergraduate,Man,No,Dev,16,11,India,23735,13
DEV327,<35,PhD,Man,No,Dev,16,6,Germany,62481,9
DEV328,<35,Undergraduate,Man,No,Dev,6,3,Canada,31400,11
DEV329,>35,Undergraduate,NonBinary,No,Dev,37,23,United States of America,150000,16
DEV330,<35,Undergraduate,Man,No,Dev,6,1,India,5868,22
DEV331,<35,Undergraduate,Man,No,Dev,10,8,India,29320,13
DEV332,>35,Undergraduate,Man,No,Dev,13,11,United States of America,105000,8
DEV333,>35,Undergraduate,Man,No,Dev,20,12,United Kingdom of Great Britain and Northern Ireland,134430,5
DEV334,>35,Other,Man,Yes,Dev,10,3,United States of America,70000,12
DEV335,<35,Undergraduate,Man,No,Dev,12,6,India,34904,22
DEV336,<35,NoHigherEd,Man,No,Dev,8,4,Germany,172950,17
DEV337,<35,Master,NonBinary,No,Dev,16,8,United States of America,150000,15
DEV338,<35,Undergraduate,Man,Yes,Dev,7,6,United Kingdom of Great Britain and Northern Ireland,47826,15
DEV339,>35,Master,Man,Yes,Dev,12,12,United States of America,80000,8
DEV340,>35,PhD,Man,No,NotDev,29,16,Germany,84316,2
DEV341,>35,Other,Man,No,Dev,47,35,Germany,162147,4
DEV342,>35,Other,Man,Yes,Dev,26,20,Japan,95000,18
DEV343,<35,Undergraduate,Man,No,Dev,5,3,India,7679,15
DEV344,<35,Undergraduate,Man,No,NotDev,10,5,Germany,73507,12
DEV345,<35,Undergraduate,NonBinary,No,Dev,6,4,Canada,55967,18
DEV346,<35,Master,Man,No,Dev,10,5,South Korea,40248,8
DEV347,>35,Undergraduate,Man,No,Dev,23,16,United Kingdom of Great Britain and Northern Ireland,59459,10
DEV348,>35,Master,Man,Yes,Dev,42,35,Germany,54070,3
DEV349,<35,Other,Man,No,Dev,15,10,United States of America,155000,21
DEV350,<35,Undergraduate,Man,No,Dev,4,1,India,6696,14
DEV351,<35,Undergraduate,Man,No,Dev,6,2,India,2508,18
DEV352,<35,Undergraduate,Man,No,Dev,13,11,United Kingdom of Great Britain and Northern Ireland,118919,5
DEV353,>35,Master,Man,Yes,Dev,5,5,United States of America,140000,15
DEV354,>35,PhD,Man,No,Dev,25,14,United States of America,130000,14
DEV355,>35,Master,Man,No,Dev,25,15,Japan,89568,11
DEV356,>35,Master,Man,No,Dev,18,15,United States of America,115000,13
DEV357,<35,Master,Man,No,Dev,5,0,United Kingdom of Great Britain and Northern Ireland,38778,2
